Project,Name,Sector,Amount
32266,SA Transplant Sports Association,Sports & Recreation,713250
32415,SA Water Ski Federation,Sports & Recreation,396000
32318,SA Weightlifting Federation,Sports & Recreation,1400000
32318,SA Weightlifting Federation,Sports & Recreation,1400000
32688,SAFA Umzinyathi,Sports & Recreation,514250
23547,Sailing South Africa,Sports & Recreation,850303
32903,Saints Football Club,Sports & Recreation,300000
23862,Sambane Combined Primary School,Sports & Recreation,250000
32759,Sandriver Golf Club,Sports & Recreation,297500
25150,Saron Primary School,Sports & Recreation,50000
32263,SASCOC,Sports & Recreation,17727000
33125,Sasol Wrestling Club,Sports & Recreation,390086
38433,Schornville Primary School,Sports & Recreation,647853
32751,Scottburgh Golf Club,Sports & Recreation,280000
23772,Seana Marena Secondary School,Sports & Recreation,250000
37900,Sebele Intermediate School,Sports & Recreation,400000
24750,Sebitja Secondary School,Sports & Recreation,50000
25203,Sederberg Primary School,Sports & Recreation,50000
32664,Sedibeng College for FET,Sports & Recreation,1100000
37911,Sefataladi Primary School,Sports & Recreation,500000
23897,Sehlakwana Primary School,Sports & Recreation,250000
24911,Seile Primary School,Sports & Recreation,50000
37785,Sekati Secondary School,Sports & Recreation,32500
23813,Sekgothadi Public School,Sports & Recreation,348000
24792,Sekolopo Middle School,Sports & Recreation,250000
24767,Sekwati Primary School,Sports & Recreation,250000
37699,Sethong Primary School,Sports & Recreation,46000
23829,SH Gumede  Primary School,Sports & Recreation,50000
25354,Shikundu High School,Sports & Recreation,50000
37709,Sibisi Primary School,Sports & Recreation,500000
23815,Sihlengiwe Secondary School,Sports & Recreation,150000
23974,Sinethezekile Public Primary School,Sports & Recreation,250000
23942,Sisabonga Primary School,Sports & Recreation,250000
23905,Sithembiso Primary School,Sports & Recreation,150000
23819,Sitintile Secondary School,Sports & Recreation,250000
23819,Sitintile Secondary School,Sports & Recreation,250000
23888,Sivumelene Secondary School,Sports & Recreation,150000
38509,Siyababalwa High School,Sports & Recreation,49711
23777,Sizanani Thusanang Comprehensive School,Sports & Recreation,350000
23907,Sobantu Secondary School,Sports & Recreation,250000
38360,Sobantu Senior Secondary School,Sports & Recreation,398986
39175,Sogasa Primary School,Sports & Recreation,29284
24719,Sol Plaatje Secondary School,Sports & Recreation,350000
32734,Sophiatown Soccer Academy,Sports & Recreation,102000
23800,Soshangaan Primary School,Sports & Recreation,350000
25588,South African Cycling Federation,Sports & Recreation,625000
32262,South African Cycling Federation,Sports & Recreation,2000000
32262,South African Cycling Federation,Sports & Recreation,2000000
32341,South African Deaf Sport Federation,Sports & Recreation,1185415
32341,South African Deaf Sport Federation,Sports & Recreation,2230000
25595,South African Disabled Golf Association,Sports & Recreation,394167
25595,South African Disabled Golf Association,Sports & Recreation,394167
26371,South African Golf Development Board,Sports & Recreation,565000
32268,South African Gymnastics Federation,Sports & Recreation,2000000
27620,South African Gymnastics Federation,Sports & Recreation,1690334
27620,South African Gymnastics Federation,Sports & Recreation,1690332
32420,South African Handball Federation,Sports & Recreation,829290
38114,South African Hockey Association,Sports & Recreation,2677500
32334,South African Korfball Federation,Sports & Recreation,718965
32302,South African Orienteering Federation,Sports & Recreation,510000
32378,South African Rugby Football Union,Sports & Recreation,2084500
38652,South African Rugby Football Union,Sports & Recreation,1000000
32418,South African Table Tennis Board,Sports & Recreation,1868622
38557,South African Table Tennis Board,Sports & Recreation,3000000
32399,South African Tennis Association,Sports & Recreation,5948800
26891,South African Wrestling Federation,Sports & Recreation,456334
37812,South African Wrestling Federation,Sports & Recreation,698280
32669,South Cape FET College,Sports & Recreation,250000
32929,South Western District Rugby Football Union,Sports & Recreation,1947311
32990,South Western Districts Cricket Board,Sports & Recreation,340000
32943,Southern Natal Surfriders Association,Sports & Recreation,299400
33120,Soweto Canoe & Recreation Club,Sports & Recreation,600000
32416,Special Olympics South Africa,Sports & Recreation,767605
32562,Sports Against Crime & HIV,Sports & Recreation,102950
32611,Sports Trust,Sports & Recreation,2112066
23788,Springs Boys High School,Sports & Recreation,350000
23788,Springs Boys High School,Sports & Recreation,350000
27111,Squash South Africa,Sports & Recreation,828667
32264,Squash South Africa,Sports & Recreation,1500000
33136,St Martins Softball Club,Sports & Recreation,95571
25184,St Michaels Primary School,Sports & Recreation,350000
25377,St Peters Primary School,Sports & Recreation,250000
24722,Stellenbosch Municipality,Sports & Recreation,333333
32364,Surfing South Africa,Sports & Recreation,483690
25398,Surfing South Africa,Sports & Recreation,641179
38418,Susannah Fourie Primary School,Sports & Recreation,200000
32389,Swimming South Africa,Sports & Recreation,5750000
32389,Swimming South Africa,Sports & Recreation,5750000
23786,Tataiso Primary School,Sports & Recreation,350000
33026,Tenpin Bowling Association of South Africa,Sports & Recreation,500000
23901,Thandanani CP School,Sports & Recreation,350000
23912,Thandulwazi Primary School,Sports & Recreation,250000
23912,Thandulwazi Primary School,Sports & Recreation,250000
16132,Thengwe High School,Sports & Recreation,253740
23820,Thibella Intermediate School,Sports & Recreation,350000
37704,Thokgwaneng Primary School,Sports & Recreation,500000
37679,Thomas Ntshavheni Primary School,Sports & Recreation,500000
24862,Thulaganyo Middle School,Sports & Recreation,350000
23885,Thulasizwe Primary School,Sports & Recreation,150000
24703,Thutlwane Primary School,Sports & Recreation,250000
24875,Tiisetso Primary School,Sports & Recreation,237500
32670,Tiqwa School,Sports & Recreation,35287
32599,Tlangelani Community Development Agency,Sports & Recreation,321879
26688,Tlhabeleni Primary School,Sports & Recreation,350000
31436,Tlokwe Potchefstroom City Council,Sports & Recreation,3028724
37489,Tondalushaka Secondary School,Sports & Recreation,275000
32561,Transkei Youth Development Project,Sports & Recreation,1500000
25957,Triathlon Free State,Sports & Recreation,250000
32564,Triest Training Centre,Sports & Recreation,603830
37921,Tshakhuma Junior Primary School,Sports & Recreation,50000
24917,Tshiamelo Primary School,Sports & Recreation,350000
37469,Tshiitwa Secondary School,Sports & Recreation,500000
37576,Tshilidzini School for Special Education,Sports & Recreation,410000
25128,Tshilivho Primary School,Sports & Recreation,50000
37678,Tshimbiluni Senior Primary School,Sports & Recreation,500000
23792,Tshireletso Public School,Sports & Recreation,350000
37483,Tshiungulela Secondary School,Sports & Recreation,260000
24106,Tshwane University of Technology,Sports & Recreation,375000
24065,Tsimong South Sotho Primary School,Sports & Recreation,150000
38059,Tsoge Primary School,Sports & Recreation,500000
37699,Tumedi Primary School,Sports & Recreation,500000
24161,Tungweni Junior Secondary School,Sports & Recreation,250000
26015,Umsobomvu Municipality,Sports & Recreation,1080000
37718,Umthombo Wemfunda Primary School,Sports & Recreation,500000
33082,Umthombo Woluntu Development Excellence,Sports & Recreation,210000
32981,Union Tennis Club Foundation,Sports & Recreation,329750
32339,United Cricket Board of South Africa,Sports & Recreation,2000800
19078,University of Fort Hare,Sports & Recreation,734000
32450,University of KwaZulu Natal,Sports & Recreation,2102581
19017,"University of Pretoria (TuksSport Mamelodi
Campus)",Sports & Recreation,290000
24910,University of Pretoria (TuksSport),Sports & Recreation,1500000
32436,University of Pretoria (TuksSport),Sports & Recreation,2610265
32425,University of Stellenbosch,Sports & Recreation,1567500
32431,University of the Free State,Sports & Recreation,2309029
12423,University of the Western Cape,Sports & Recreation,349508
24166,Vaal University of Technology,Sports & Recreation,1233333
23926,Verena Primary School,Sports & Recreation,150000
37499,Vhembe FET College,Sports & Recreation,666000
25470,Victoria West High School,Sports & Recreation,350000
23548,Volleyball South Africa,Sports & Recreation,1801459
32314,Volleyball South Africa,Sports & Recreation,5155000
24956,Volleyball South Africa,Sports & Recreation,1805000
13890,Vooruitsig Primary School,Sports & Recreation,120000
32560,Vryburg Sport & Recreation Union,Sports & Recreation,500000
23910,Vumazonke JP Foundation Phase School,Sports & Recreation,350000
25429,Warrenton Public School,Sports & Recreation,233700
32923,Wasbank Boxing Club,Sports & Recreation,265000
38061,Welgelegen Primary School,Sports & Recreation,500000
32645,Welkom Tennis Club,Sports & Recreation,392000
25170,Wellington Primary School,Sports & Recreation,250000
32732,Wemmer Pan Aquatic Club,Sports & Recreation,452676
25604,Western Cape Rowing,Sports & Recreation,1466400
24963,Western Province Athletics,Sports & Recreation,441507
24711,Western Province Cricket Association,Sports & Recreation,379000
32765,Western Province Cricket Association,Sports & Recreation,880000
24513,"Western Province Cycling for People with
Physical Disabilities",Sports & Recreation,50000
24884,Western Province Lifesaving,Sports & Recreation,231530
27048,Western Province Rugby Football Union,Sports & Recreation,1266666
27684,Western Province Table Tennis,Sports & Recreation,280500
24706,Western Reefs Primary School,Sports & Recreation,250000
32402,Wheelchair Tennis South Africa,Sports & Recreation,821584
32402,Wheelchair Tennis South Africa,Sports & Recreation,821584
33118,Whites Golf Club,Sports & Recreation,394000
25368,Willie Theron Primary School,Sports & Recreation,302500
32901,Wisdom Soccer Academy,Sports & Recreation,300000
32781,"Women’s High Performance Artistic Gymnastics
Organisation",Sports & Recreation,127150
23915,Yigugulethu Primary School,Sports & Recreation,350000
32913,Young Sport Developers,Sports & Recreation,50000
23871,Zakheni High School,Sports & Recreation,250000
23874,Zidobhele Senior Secondary School,Sports & Recreation,250000
23874,Zidobhele Senior Secondary School,Sports & Recreation,250000
